,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Children Under 6 in Immigrant and Native Families, 2012*",,,,,,,,,
(in thousands),,,,,,,,,
,,,,,,,,,
,,Number of all children (0-5),Children (0-5) with at least one immigrant parent,,,,Children with U.S.-born parents,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,
,,,,,,,,,
2012,United States," 23,203 "," 5,819 ",25.1%," 5,560 ",95.6%," 17,384 ",,
,,,,,,,,,
,Alabama, 349 , 33 ,9.5%, 31 ,94.6%, 316 ,,
,Alaska, 62 , 8 ,12.6%, 8 ,96.4%, 54 ,,
,Arizona, 507 , 140 ,27.5%, 135 ,96.4%, 367 ,,
,Arkansas, 220 , 25 ,11.5%, 24 ,96.9%, 195 ,,
,California," 2,942 "," 1,393 ",47.3%," 1,348 ",96.8%," 1,550 ",,
,Colorado, 396 , 86 ,21.8%, 82 ,95.5%, 309 ,,
,Connecticut, 230 , 57 ,24.9%, 53 ,93.1%, 173 ,,
,Delaware, 63 , 13 ,20.8%, 12 ,90.9%, 50 ,,
,District of Columbia, 44 , 12 ,28.2%, 11 ,89.4%, 32 ,,
,Florida," 1,245 ", 397 ,31.9%, 379 ,95.5%, 848 ,,
,Georgia, 785 , 168 ,21.3%, 159 ,95.1%, 618 ,,
,Hawaii, 105 , 29 ,28.1%, 27 ,92.5%, 75 ,,
,Idaho, 134 , 18 ,13.3%, 17 ,98.3%, 116 ,,
,Illinois, 952 , 259 ,27.2%, 247 ,95.4%, 693 ,,
,Indiana, 495 , 51 ,10.3%, 48 ,95.0%, 444 ,,
,Iowa, 230 , 24 ,10.3%, 22 ,91.9%, 206 ,,
,Kansas, 236 , 37 ,15.5%, 35 ,95.2%, 199 ,,
,Kentucky, 316 , 28 ,8.8%, 26 ,92.7%, 288 ,,
,Louisiana, 358 , 23 ,6.5%, 23 ,97.3%, 334 ,,
,Maine, 78 , 4 ,5.7%, 4 ,94.7%, 74 ,,
,Maryland, 431 , 125 ,29.1%, 118 ,94.2%, 306 ,,
,Massachusetts, 428 , 128 ,29.8%, 121 ,94.4%, 300 ,,
,Michigan, 665 , 88 ,13.2%, 82 ,92.8%, 577 ,,
,Minnesota, 414 , 80 ,19.4%, 76 ,94.0%, 334 ,,
,Mississippi, 232 , 9 ,3.7%, 8 ,96.1%, 223 ,,
,Missouri, 434 , 37 ,8.6%, 35 ,94.4%, 397 ,,
,Montana, 70 , 3 ,3.8%, 3 ,100.0%, 67 ,,
,Nebraska, 155 , 24 ,15.6%, 23 ,95.8%, 130 ,,
,Nevada, 216 , 82 ,37.8%, 80 ,97.9%, 135 ,,
,New Hampshire, 77 , 9 ,12.1%, 9 ,91.4%, 68 ,,
,New Jersey, 621 , 240 ,38.7%, 226 ,94.0%, 381 ,,
,New Mexico, 167 , 31 ,18.5%, 29 ,95.7%, 136 ,,
,New York," 1,344 ", 483 ,35.9%, 458 ,94.8%, 861 ,,
,North Carolina, 720 , 136 ,18.9%, 130 ,95.3%, 584 ,,
,North Dakota, 54 , 2 ,4.3%, 2 ,79.4%, 51 ,,
,Ohio, 813 , 67 ,8.2%, 62 ,92.7%, 746 ,,
,Oklahoma, 299 , 41 ,13.8%, 39 ,95.5%, 258 ,,
,Oregon, 269 , 66 ,24.5%, 63 ,96.0%, 203 ,,
,Pennsylvania, 842 , 102 ,12.1%, 95 ,93.7%, 741 ,,
,Rhode Island, 66 , 15 ,22.0%, 14 ,93.6%, 51 ,,
,South Carolina, 342 , 37 ,10.9%, 36 ,95.4%, 304 ,,
,South Dakota, 68 , 4 ,5.2%, 3 ,95.9%, 65 ,,
,Tennessee, 466 , 56 ,11.9%, 52 ,94.2%, 411 ,,
,Texas," 2,241 ", 752 ,33.6%, 726 ,96.6%," 1,489 ",,
,Utah, 305 , 51 ,16.7%, 49 ,96.3%, 254 ,,
,Vermont, 38 , 2 ,5.5%, 2 ,93.3%, 36 ,,
,Virginia, 594 , 143 ,24.0%, 135 ,94.5%, 451 ,,
,Washington, 508 , 147 ,28.9%, 139 ,94.7%, 361 ,,
,West Virginia, 122 , 4 ,2.9%, 3 ,89.7%, 118 ,,
,Wisconsin, 413 , 48 ,11.5%, 46 ,96.5%, 365 ,,
,Wyoming, 44 , 4 ,9.7%, 4 ,94.7%, 40 ,,
,,,,,,,,,
"* Includes only children who reside with at least one parent. The term ""immigrants"" refers to people residing in the United States who were not U.S. citizens at birth. This population includes naturalized citizens, lawful permanent residents (LPRs), certain legal nonimmigrants (e.g., persons on student or work visas), those admitted under refugee or asylee status, and persons illegally residing in the United States. Immigrant families are defined as families with at least one immigrant parent.",,,,,,,,,
Source: Migration Policy Institute tabulations of the U.S. Census Bureau's 2012 American Community Survey.,,,,,,,,,
