,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Children Under 6 in Immigrant and Native Families, 1990*",,,,,,,,,
(in thousands),,,,,,,,,
,,,,,,,,,
,,Number of all children (0-5),Children (0-5) with at least one immigrant parent,,,,Children with U.S.-born parents,,
Year,Geography,,Number,As a percentage of all children,U.S. Born,U.S.-born children as a percentage of children in immigrant families,,,
,,,,,,,,,
1990,United States," 21,217 "," 2,870 ",13.5%," 2,549 ",88.8%," 18,347 ",,
,,,,,,,,,
,Alabama, 325 , 7 ,2.3%, 7 ,93.6%, 318 ,,
,Alaska, 64 , 5 ,8.4%, 5 ,95.5%, 59 ,,
,Arizona, 338 , 51 ,15.0%, 44 ,86.9%, 287 ,,
,Arkansas, 193 , 4 ,2.1%, 4 ,93.6%, 189 ,,
,California," 2,721 "," 1,033 ",38.0%, 902 ,87.3%," 1,688 ",,
,Colorado, 294 , 25 ,8.6%, 23 ,91.0%, 269 ,,
,Connecticut, 265 , 33 ,12.3%, 30 ,91.4%, 232 ,,
,Delaware, 56 , 3 ,5.2%, 3 ,94.3%, 53 ,,
,District of Columbia, 39 , 5 ,13.1%, 4 ,84.5%, 34 ,,
,Florida, 968 , 188 ,19.4%, 169 ,89.7%, 780 ,,
,Georgia, 568 , 29 ,5.1%, 25 ,87.7%, 540 ,,
,Hawaii, 95 , 21 ,22.3%, 20 ,95.0%, 74 ,,
,Idaho, 91 , 5 ,5.8%, 5 ,86.4%, 86 ,,
,Illinois, 981 , 140 ,14.3%, 126 ,89.8%, 841 ,,
,Indiana, 474 , 13 ,2.8%, 12 ,89.3%, 461 ,,
,Iowa, 233 , 6 ,2.4%, 5 ,85.0%, 227 ,,
,Kansas, 224 , 12 ,5.4%, 11 ,89.2%, 212 ,,
,Kentucky, 294 , 5 ,1.8%, 5 ,89.3%, 289 ,,
,Louisiana, 385 , 14 ,3.6%, 13 ,94.2%, 372 ,,
,Maine, 102 , 4 ,4.1%, 4 ,95.8%, 98 ,,
,Maryland, 411 , 42 ,10.3%, 38 ,89.4%, 369 ,,
,Massachusetts, 478 , 70 ,14.7%, 63 ,89.4%, 407 ,,
,Michigan, 816 , 43 ,5.3%, 39 ,91.2%, 773 ,,
,Minnesota, 401 , 19 ,4.8%, 16 ,83.5%, 382 ,,
,Mississippi, 222 , 4 ,1.7%, 3 ,94.7%, 218 ,,
,Missouri, 431 , 11 ,2.6%, 10 ,89.2%, 420 ,,
,Montana, 70 , 2 ,2.3%, 1 ,95.0%, 68 ,,
,Nebraska, 144 , 4 ,2.8%, 4 ,93.3%, 140 ,,
,Nevada, 105 , 16 ,15.4%, 14 ,87.9%, 89 ,,
,New Hampshire, 100 , 5 ,5.3%, 5 ,93.3%, 94 ,,
,New Jersey, 605 , 116 ,19.2%, 103 ,89.1%, 489 ,,
,New Mexico, 146 , 17 ,11.5%, 15 ,91.9%, 129 ,,
,New York," 1,425 ", 320 ,22.5%, 281 ,87.7%," 1,105 ",,
,North Carolina, 526 , 20 ,3.7%, 18 ,90.5%, 507 ,,
,North Dakota, 56 , 1 ,2.1%, 1 ,95.0%, 55 ,,
,Ohio, 921 , 28 ,3.0%, 25 ,91.2%, 893 ,,
,Oklahoma, 264 , 13 ,5.1%, 12 ,91.4%, 251 ,,
,Oregon, 235 , 19 ,8.1%, 17 ,91.1%, 216 ,,
,Pennsylvania, 924 , 41 ,4.4%, 37 ,92.3%, 883 ,,
,Rhode Island, 81 , 14 ,17.1%, 12 ,89.8%, 67 ,,
,South Carolina, 293 , 7 ,2.4%, 6 ,90.7%, 286 ,,
,South Dakota, 63 , 1 ,2.0%, 1 ,90.8%, 62 ,,
,Tennessee, 385 , 9 ,2.3%, 8 ,91.0%, 376 ,,
,Texas," 1,611 ", 314 ,19.5%, 285 ,90.7%," 1,297 ",,
,Utah, 203 , 13 ,6.6%, 13 ,94.0%, 189 ,,
,Vermont, 50 , 2 ,4.1%, 2 ,92.5%, 48 ,,
,Virginia, 511 , 44 ,8.6%, 39 ,89.4%, 467 ,,
,Washington, 431 , 49 ,11.4%, 44 ,89.8%, 382 ,,
,West Virginia, 126 , 2 ,1.6%, 2 ,92.5%, 124 ,,
,Wisconsin, 428 , 18 ,4.2%, 15 ,83.8%, 409 ,,
,Wyoming, 43 , 1 ,3.4%, 1 ,94.8%, 41 ,,
,,,,,,,,,
"* Includes only children who reside with at least one parent. The term ""immigrants"" refers to people residing in the United States who were not U.S. citizens at birth. This population includes naturalized citizens, lawful permanent residents (LPRs), certain legal nonimmigrants (e.g., persons on student or work visas), those admitted under refugee or asylee status, and persons illegally residing in the United States. Immigrant families are defined as families with at least one immigrant parent.",,,,,,,,,
"Source: Migration Policy Institute tabulations of the U.S. Census Bureau's 1990 Census data accessed from Steven Ruggles, J. Trent Alexander, Katie Genadek, Ronald Goeken, Matthew B. Schroeder, and Matthew Sobek. Integrated Public Use Microdata Series: Version 5.0 [Machine-readable database]. Minneapolis: University of Minnesota, 2010.",,,,,,,,,
